description,severity
"Major pipeline burst causing flooding on road",High
"Garbage overflowing near market area",Medium
"Small water leakage from roadside pipe",Low
"Traffic signal not working at busy junction",High
"Street lights not working in society lane",Medium
"Drainage blockage causing dirty water overflow",High
"Public toilet dirty and unhygienic",Low
"Potholes causing bike accidents on highway",High
"Minor garbage issue near bus stop",Low
"Industrial wastewater released into canal",High
